ontology file,common vocabulary file,subject,predicate,original value,offending value
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission_restrictions.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/value,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission_restrictions.rdf,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/value,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/SupportedValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2002/07/owl#Class
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/SupportedValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2002/07/owl#Class
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/confidentialityLevelType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2002/07/owl#ObjectProperty
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/confidentialityLevelType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/providesValueFor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2002/07/owl#ObjectProperty
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/providesValueFor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/supportsValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2002/07/owl#ObjectProperty
assets/ePO/feature/4.1.0-rc.3/implementation/eSubmission/owl_ontology/eSubmission.ttl,file://assets/common-vocabularies/m8g.ttl,http://data.europa.eu/m8g/supportsValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty
